"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","new.ident","integrated_snn_res.0.8","seurat_clusters"
"cell_3216_4","cell",1736,930,0.460829493087558,"t4","0","0"
"cell_3217_4","cell",1736,1102,0.97926267281106,"t4","11","11"
"cell_3218_4","cell",1732,1113,2.82909930715935,"t4","2","2"
"cell_3219_4","cell",1733,1089,0.980957876514714,"t4","11","11"
"cell_3220_4","cell",1734,944,2.13379469434833,"t4","5","5"
"cell_3221_4","cell",1734,860,0.576701268742791,"t4","0","0"
"cell_3222_4","cell",1731,1035,0.346620450606586,"t4","11","11"
"cell_3223_4","cell",1731,1073,0.346620450606586,"t4","2","2"
"cell_3224_4","cell",1729,1022,3.52805089647195,"t4","5","5"
"cell_3225_4","cell",1730,1086,0.346820809248555,"t4","2","2"
"cell_3226_4","cell",1727,1032,4.34279096699479,"t4","5","5"
"cell_3227_4","cell",1730,936,0.0578034682080925,"t4","0","0"
"cell_3228_4","cell",1728,900,0.115740740740741,"t4","11","11"
"cell_3229_4","cell",1725,1072,2.89855072463768,"t4","5","5"
"cell_3230_4","cell",1726,1065,0.579374275782155,"t4","1","1"
"cell_3231_4","cell",1724,889,0.0580046403712297,"t4","14","14"
"cell_3232_4","cell",1726,1075,0.289687137891078,"t4","1","1"
"cell_3233_4","cell",1724,894,0.116009280742459,"t4","0","0"
"cell_3235_4","cell",1721,950,0.813480534572923,"t4","1","1"
"cell_3236_4","cell",1721,999,1.80127832655433,"t4","5","5"
"cell_3237_4","cell",1719,957,0.58173356602676,"t4","1","1"
"cell_3238_4","cell",1716,954,0.233100233100233,"t4","1","1"
"cell_3239_4","cell",1718,893,0.291036088474971,"t4","1","1"
"cell_3240_4","cell",1712,1119,1.57710280373832,"t4","1","1"
"cell_3241_4","cell",1714,998,0,"t4","0","0"
"cell_3242_4","cell",1712,901,0,"t4","0","0"
"cell_3243_4","cell",1713,1070,0.0583771161704612,"t4","0","0"
"cell_3244_4","cell",1709,1019,0.117027501462844,"t4","0","0"
"cell_3245_4","cell",1708,1057,3.22014051522248,"t4","5","5"
"cell_3246_4","cell",1710,983,0.584795321637427,"t4","5","5"
"cell_3247_4","cell",1708,953,0,"t4","2","2"
"cell_3248_4","cell",1709,986,0.292568753657109,"t4","2","2"
"cell_3249_4","cell",1708,944,1.81498829039813,"t4","5","5"
"cell_3250_4","cell",1706,1031,2.46189917936694,"t4","5","5"
"cell_3251_4","cell",1709,888,0.292568753657109,"t4","4","4"
"cell_3252_4","cell",1708,882,0.0585480093676815,"t4","11","11"
"cell_3253_4","cell",1706,943,0,"t4","0","0"
"cell_3254_4","cell",1703,1098,2.23135642982971,"t4","1","1"
"cell_3255_4","cell",1702,994,0.117508813160987,"t4","12","12"
"cell_3256_4","cell",1703,966,2.23135642982971,"t4","5","5"
"cell_3257_4","cell",1704,1094,2.64084507042254,"t4","5","5"
"cell_3258_4","cell",1702,961,0.176263219741481,"t4","0","0"
"cell_3259_4","cell",1703,984,0.117439812096301,"t4","0","0"
"cell_3260_4","cell",1702,994,2.58519388954172,"t4","5","5"
"cell_3262_4","cell",1700,915,0.117647058823529,"t4","0","0"
"cell_3263_4","cell",1699,988,0.235432607416127,"t4","5","5"
"cell_3264_4","cell",1697,904,0.176782557454331,"t4","0","0"
"cell_3265_4","cell",1696,908,0.294811320754717,"t4","1","1"
"cell_3266_4","cell",1697,989,0.0589275191514437,"t4","7","7"
"cell_3267_4","cell",1696,983,4.00943396226415,"t4","5","5"
"cell_3268_4","cell",1694,918,0.0590318772136954,"t4","6","6"
"cell_3269_4","cell",1695,1006,0,"t4","3","3"
"cell_3270_4","cell",1695,1080,0.353982300884956,"t4","3","3"
"cell_3271_4","cell",1691,1034,0.295683027794205,"t4","1","1"
"cell_3272_4","cell",1693,882,0.0590667454223272,"t4","0","0"
"cell_3273_4","cell",1689,980,1.65778567199526,"t4","7","7"
"cell_3274_4","cell",1689,865,0.118413262285376,"t4","0","0"
"cell_3275_4","cell",1687,877,0,"t4","0","0"
"cell_3276_4","cell",1688,1085,0.0592417061611374,"t4","0","0"
"cell_3277_4","cell",1688,990,0.592417061611374,"t4","0","0"
"cell_3278_4","cell",1685,963,1.54302670623145,"t4","4","4"
"cell_3279_4","cell",1686,1060,1.36417556346382,"t4","5","5"
"cell_3280_4","cell",1686,981,1.77935943060498,"t4","1","1"
"cell_3281_4","cell",1685,942,0.712166172106825,"t4","0","0"
"cell_3282_4","cell",1681,1049,1.90362879238548,"t4","5","5"
"cell_3283_4","cell",1683,958,0.17825311942959,"t4","4","4"
"cell_3284_4","cell",1682,921,0.0594530321046373,"t4","10","10"
"cell_3286_4","cell",1680,934,0.178571428571429,"t4","0","0"
"cell_3287_4","cell",1679,734,0.238237045860631,"t4","0","0"
"cell_3288_4","cell",1679,1003,0.53603335318642,"t4","3","3"
"cell_3289_4","cell",1677,1016,0.298151460942159,"t4","7","7"
"cell_3290_4","cell",1677,1025,1.90816935002982,"t4","5","5"
"cell_3291_4","cell",1676,1092,1.96897374701671,"t4","1","1"
"cell_3292_4","cell",1676,889,0.536992840095465,"t4","0","0"
"cell_3293_4","cell",1677,883,0.0596302921884317,"t4","0","0"
"cell_3294_4","cell",1676,902,0.0596658711217184,"t4","11","11"
"cell_3295_4","cell",1676,1003,2.32696897374702,"t4","5","5"
"cell_3297_4","cell",1676,1063,0.178997613365155,"t4","0","0"
"cell_3298_4","cell",1675,1096,3.94029850746269,"t4","5","5"
"cell_3299_4","cell",1675,933,0,"t4","0","0"
"cell_3300_4","cell",1674,1011,0.0597371565113501,"t4","0","0"
"cell_3301_4","cell",1671,876,0.119688809096349,"t4","11","11"
"cell_3302_4","cell",1673,1061,0.597728631201435,"t4","0","0"
"cell_3303_4","cell",1672,1009,1.31578947368421,"t4","9","9"
"cell_3304_4","cell",1671,977,2.15439856373429,"t4","1","1"
"cell_3305_4","cell",1666,859,0.0600240096038415,"t4","6","6"
"cell_3306_4","cell",1672,1089,0.299043062200957,"t4","4","4"
"cell_3307_4","cell",1666,1027,0.720288115246098,"t4","6","6"
"cell_3308_4","cell",1669,787,0.239664469742361,"t4","4","4"
"cell_3309_4","cell",1668,1089,1.55875299760192,"t4","1","1"
"cell_3310_4","cell",1666,929,0.180072028811525,"t4","0","0"
"cell_3311_4","cell",1665,1027,0.840840840840841,"t4","4","4"
"cell_3312_4","cell",1667,1020,1.85962807438512,"t4","5","5"
"cell_3313_4","cell",1665,1100,0.720720720720721,"t4","3","3"
"cell_3314_4","cell",1666,1038,0.240096038415366,"t4","1","1"
"cell_3315_4","cell",1661,967,0,"t4","3","3"
"cell_3316_4","cell",1665,1069,3.18318318318318,"t4","5","5"
"cell_3317_4","cell",1663,904,0.0601322910402886,"t4","0","0"
"cell_3318_4","cell",1664,914,0.120192307692308,"t4","0","0"
"cell_3319_4","cell",1663,1121,2.58568851473241,"t4","5","5"
"cell_3320_4","cell",1664,921,0.120192307692308,"t4","0","0"
"cell_3321_4","cell",1664,923,0,"t4","0","0"
"cell_3322_4","cell",1660,914,0.0602409638554217,"t4","0","0"
"cell_3323_4","cell",1659,926,2.41109101868596,"t4","5","5"
"cell_3324_4","cell",1661,906,1.02347983142685,"t4","0","0"
"cell_3325_4","cell",1662,1101,0.0601684717208183,"t4","0","0"
"cell_3326_4","cell",1661,862,0.481637567730283,"t4","0","0"
"cell_3327_4","cell",1660,899,0,"t4","0","0"
"cell_3328_4","cell",1661,1076,0.180614087898856,"t4","0","0"
"cell_3329_4","cell",1661,1000,0.240818783865141,"t4","4","4"
"cell_3332_4","cell",1658,1008,2.41254523522316,"t4","11","11"
"cell_3333_4","cell",1657,1007,3.62100181050091,"t4","1","1"
"cell_3334_4","cell",1653,1020,0.0604960677555959,"t4","6","6"
"cell_3335_4","cell",1657,1076,3.01750150875075,"t4","9","9"
"cell_3336_4","cell",1653,1032,1.69388989715668,"t4","1","1"
"cell_3337_4","cell",1649,1080,2.42571255306246,"t4","3","3"
"cell_3338_4","cell",1654,922,0.30229746070133,"t4","0","0"
"cell_3339_4","cell",1650,1036,0.909090909090909,"t4","0","0"
"cell_3340_4","cell",1652,1068,0.665859564164649,"t4","1","1"
"cell_3341_4","cell",1650,1078,0.121212121212121,"t4","10","10"
"cell_3342_4","cell",1646,1001,2.43013365735115,"t4","9","9"
"cell_3343_4","cell",1649,817,0,"t4","2","2"
"cell_3344_4","cell",1648,918,0.0606796116504854,"t4","0","0"
"cell_3345_4","cell",1647,1011,0.667880995749848,"t4","0","0"
"cell_3346_4","cell",1647,971,1.94292653309047,"t4","5","5"
"cell_3347_4","cell",1645,1031,2.31003039513678,"t4","1","1"
"cell_3348_4","cell",1644,907,2.79805352798054,"t4","5","5"
"cell_3349_4","cell",1646,1002,0.303766707168894,"t4","1","1"
"cell_3350_4","cell",1642,1011,0.97442143727162,"t4","1","1"
"cell_3351_4","cell",1642,998,2.13154689403167,"t4","1","1"
"cell_3352_4","cell",1642,1009,4.44579780755177,"t4","5","5"
"cell_3353_4","cell",1641,914,0.0609384521633151,"t4","0","0"
"cell_3354_4","cell",1641,987,1.2187690432663,"t4","0","0"
"cell_3355_4","cell",1639,1007,2.25747406955461,"t4","1","1"
"cell_3356_4","cell",1636,1086,0.794621026894866,"t4","4","4"
"cell_3357_4","cell",1639,1076,1.46430750457596,"t4","5","5"
"cell_3358_4","cell",1639,1098,1.4032946918853,"t4","2","2"
"cell_3359_4","cell",1638,1019,2.25885225885226,"t4","5","5"
"cell_3360_4","cell",1639,1015,0,"t4","7","7"
"cell_3361_4","cell",1639,817,0.061012812690665,"t4","0","0"
"cell_3362_4","cell",1638,975,0.061050061050061,"t4","1","1"
"cell_3363_4","cell",1636,1001,1.03911980440098,"t4","5","5"
"cell_3364_4","cell",1638,1051,2.86935286935287,"t4","5","5"
"cell_3365_4","cell",1637,973,3.29871716554673,"t4","5","5"
"cell_3366_4","cell",1636,1027,0.122249388753056,"t4","0","0"
"cell_3367_4","cell",1637,1051,3.72632864996946,"t4","5","5"
"cell_3368_4","cell",1634,1026,4.40636474908201,"t4","2","2"
"cell_3369_4","cell",1634,965,0,"t4","9","9"
"cell_3370_4","cell",1634,947,0.0611995104039168,"t4","2","2"
"cell_3371_4","cell",1631,904,0,"t4","0","0"
"cell_3372_4","cell",1631,992,0.183936235438381,"t4","4","4"
"cell_3373_4","cell",1630,1003,1.65644171779141,"t4","3","3"
"cell_3374_4","cell",1630,1009,0.306748466257669,"t4","0","0"
"cell_3375_4","cell",1630,947,0.49079754601227,"t4","0","0"
"cell_3376_4","cell",1627,1088,1.16779348494161,"t4","3","3"
"cell_3377_4","cell",1629,997,0.184162062615101,"t4","0","0"
"cell_3378_4","cell",1626,903,0.43050430504305,"t4","0","0"
"cell_3379_4","cell",1625,961,0.923076923076923,"t4","4","4"
"cell_3380_4","cell",1626,982,1.90651906519065,"t4","1","1"
"cell_3381_4","cell",1625,1020,2.89230769230769,"t4","5","5"
"cell_3382_4","cell",1626,972,0.18450184501845,"t4","3","3"
"cell_3383_4","cell",1624,1078,2.89408866995074,"t4","4","4"
"cell_3384_4","cell",1623,1026,0.677757239679606,"t4","1","1"
"cell_3385_4","cell",1622,921,0.369913686806412,"t4","1","1"
"cell_3386_4","cell",1621,1061,0.493522516964837,"t4","0","0"
"cell_3387_4","cell",1621,777,0.0616903146206046,"t4","11","11"
"cell_3388_4","cell",1621,906,0.123380629241209,"t4","0","0"
"cell_3389_4","cell",1617,920,1.23685837971552,"t4","7","7"
"cell_3390_4","cell",1619,1015,1.17356392835083,"t4","1","1"
"cell_3391_4","cell",1620,991,0.0617283950617284,"t4","0","0"
"cell_3392_4","cell",1618,1013,0.185414091470952,"t4","1","1"
"cell_3393_4","cell",1618,1029,0.30902348578492,"t4","1","1"
"cell_3394_4","cell",1618,869,0.0618046971569839,"t4","4","4"
"cell_3395_4","cell",1616,966,0.309405940594059,"t4","5","5"
"cell_3396_4","cell",1615,926,0.247678018575851,"t4","0","0"
"cell_3397_4","cell",1617,961,0.680272108843537,"t4","4","4"
"cell_3398_4","cell",1616,1015,0.928217821782178,"t4","1","1"
"cell_3399_4","cell",1616,902,0.99009900990099,"t4","1","1"
"cell_3400_4","cell",1615,947,0.0619195046439629,"t4","0","0"
"cell_3401_4","cell",1613,958,0.929944203347799,"t4","1","1"
"cell_3402_4","cell",1613,1074,1.42591444513329,"t4","5","5"
"cell_3403_4","cell",1612,930,0.0620347394540943,"t4","0","0"
"cell_3404_4","cell",1612,1047,0.43424317617866,"t4","1","1"
"cell_3406_4","cell",1611,915,0.496585971446307,"t4","4","4"
"cell_3407_4","cell",1611,955,0.558659217877095,"t4","0","0"
"cell_3408_4","cell",1612,1064,0.86848635235732,"t4","3","3"
"cell_3409_4","cell",1611,1064,1.0552451893234,"t4","3","3"
"cell_3410_4","cell",1611,877,0.124146492861577,"t4","0","0"
"cell_3411_4","cell",1607,1013,0.684505289359054,"t4","1","1"
"cell_3412_4","cell",1609,1004,0.124300807955252,"t4","10","10"
"cell_3413_4","cell",1607,944,3.60920970752956,"t4","2","2"
"cell_3414_4","cell",1608,884,0.310945273631841,"t4","7","7"
"cell_3415_4","cell",1605,1007,0,"t4","1","1"
"cell_3416_4","cell",1607,1014,0.311138767890479,"t4","10","10"
"cell_3417_4","cell",1607,1032,2.80024891101431,"t4","1","1"
"cell_3418_4","cell",1605,975,0,"t4","9","9"
"cell_3419_4","cell",1603,930,1.68434185901435,"t4","9","9"
"cell_3420_4","cell",1604,946,0.810473815461347,"t4","0","0"
"cell_3421_4","cell",1604,980,0.810473815461347,"t4","4","4"
"cell_3422_4","cell",1603,1074,0.311915159076731,"t4","4","4"
"cell_3423_4","cell",1602,818,0.0624219725343321,"t4","11","11"
"cell_3424_4","cell",1598,860,3.75469336670839,"t4","9","9"
"cell_3425_4","cell",1601,906,0,"t4","0","0"
"cell_3426_4","cell",1599,1008,0.938086303939963,"t4","4","4"
"cell_3427_4","cell",1599,1042,0.75046904315197,"t4","4","4"
"cell_3428_4","cell",1600,837,0.0625,"t4","0","0"
"cell_3429_4","cell",1597,962,2.3794614902943,"t4","5","5"
"cell_3430_4","cell",1596,991,2.06766917293233,"t4","9","9"
"cell_3431_4","cell",1596,961,0,"t4","0","0"
"cell_3432_4","cell",1595,1037,2.06896551724138,"t4","3","3"
"cell_3433_4","cell",1594,945,0.125470514429109,"t4","0","0"
"cell_3434_4","cell",1593,980,2.88763339610797,"t4","3","3"
"cell_3435_4","cell",1593,970,3.57815442561205,"t4","5","5"
"cell_3436_4","cell",1590,874,0,"t4","4","4"
"cell_3437_4","cell",1592,1076,1.57035175879397,"t4","1","1"
"cell_3438_4","cell",1591,966,4.90257699560025,"t4","1","1"
"cell_3439_4","cell",1588,1025,0.0629722921914358,"t4","10","10"
"cell_3440_4","cell",1586,1035,4.35056746532156,"t4","5","5"
"cell_3441_4","cell",1589,897,0.12586532410321,"t4","0","0"
"cell_3442_4","cell",1584,1012,0.631313131313131,"t4","10","10"
"cell_3443_4","cell",1588,960,3.65239294710327,"t4","1","1"
"cell_3445_4","cell",1586,1003,1.0718789407314,"t4","1","1"
"cell_3446_4","cell",1585,1016,1.89274447949527,"t4","1","1"
"cell_3447_4","cell",1588,876,0.251889168765743,"t4","0","0"
"cell_3448_4","cell",1586,969,1.82849936948298,"t4","3","3"
"cell_3449_4","cell",1587,938,2.77252678008822,"t4","1","1"
"cell_3450_4","cell",1586,858,0.252206809583859,"t4","1","1"
"cell_3451_4","cell",1584,998,0.505050505050505,"t4","0","0"
"cell_3452_4","cell",1584,881,0.0631313131313131,"t4","5","5"
"cell_3453_4","cell",1582,1012,1.20101137800253,"t4","1","1"
"cell_3454_4","cell",1581,1047,0.189753320683112,"t4","0","0"
"cell_3455_4","cell",1581,904,0.126502213788741,"t4","0","0"
"cell_3456_4","cell",1581,990,0.316255534471853,"t4","1","1"
"cell_3457_4","cell",1578,998,0.253485424588086,"t4","10","10"
"cell_3458_4","cell",1579,909,0.316656111462951,"t4","0","0"
"cell_3459_4","cell",1577,1009,0.126823081800888,"t4","2","2"
"cell_3460_4","cell",1577,872,0.0634115409004439,"t4","11","11"
"cell_3461_4","cell",1577,962,1.71211160431198,"t4","1","1"
"cell_3462_4","cell",1577,970,0.697526949904883,"t4","0","0"
"cell_3463_4","cell",1576,1036,0.317258883248731,"t4","0","0"
"cell_3464_4","cell",1576,976,0.571065989847716,"t4","1","1"
"cell_3465_4","cell",1570,888,0.127388535031847,"t4","6","6"
"cell_3466_4","cell",1575,846,2.79365079365079,"t4","5","5"
"cell_3467_4","cell",1574,1112,2.85895806861499,"t4","2","2"
"cell_3468_4","cell",1574,851,0.0635324015247776,"t4","4","4"
"cell_3469_4","cell",1571,927,2.80076384468491,"t4","5","5"
"cell_3470_4","cell",1572,934,1.97201017811705,"t4","5","5"
"cell_3471_4","cell",1569,1017,0.0637348629700446,"t4","3","3"
"cell_3472_4","cell",1571,899,0,"t4","2","2"
"cell_3473_4","cell",1571,915,2.54614894971356,"t4","5","5"
"cell_3474_4","cell",1570,888,0.127388535031847,"t4","1","1"
"cell_3475_4","cell",1568,965,4.20918367346939,"t4","5","5"
"cell_3476_4","cell",1569,916,0,"t4","0","0"
"cell_3477_4","cell",1570,958,4.20382165605096,"t4","1","1"
"cell_3478_4","cell",1568,997,0.127551020408163,"t4","2","2"
"cell_3479_4","cell",1568,861,0.255102040816327,"t4","0","0"
"cell_3480_4","cell",1565,986,1.15015974440895,"t4","1","1"
"cell_3481_4","cell",1564,889,1.91815856777494,"t4","5","5"
"cell_3482_4","cell",1566,851,0.510855683269476,"t4","4","4"
"cell_3483_4","cell",1565,924,0.383386581469649,"t4","4","4"
"cell_3484_4","cell",1565,948,0.894568690095847,"t4","1","1"
"cell_3485_4","cell",1563,908,0.191938579654511,"t4","0","0"
"cell_3487_4","cell",1562,1018,0.448143405889885,"t4","0","0"
"cell_3488_4","cell",1562,950,0.0640204865556978,"t4","1","1"
"cell_3489_4","cell",1562,939,0,"t4","0","0"
"cell_3490_4","cell",1560,762,0.32051282051282,"t4","0","0"
"cell_3492_4","cell",1559,960,0.833867864015394,"t4","1","1"
"cell_3493_4","cell",1557,901,0.0642260757867694,"t4","0","0"
"cell_3494_4","cell",1556,1015,0.06426735218509,"t4","1","1"
"cell_3495_4","cell",1558,984,0.449293966623877,"t4","0","0"
"cell_3496_4","cell",1556,888,1.09254498714653,"t4","0","0"
"cell_3497_4","cell",1556,799,0,"t4","0","0"
"cell_3498_4","cell",1552,919,0,"t4","7","7"
"cell_3499_4","cell",1552,807,0.0644329896907216,"t4","4","4"
"cell_3500_4","cell",1552,904,0.322164948453608,"t4","9","9"
"cell_3501_4","cell",1552,873,0,"t4","0","0"
"cell_3502_4","cell",1550,877,0,"t4","0","0"
"cell_3503_4","cell",1550,847,0.645161290322581,"t4","4","4"
"cell_3504_4","cell",1548,969,0.839793281653747,"t4","11","11"
"cell_3505_4","cell",1546,876,0,"t4","0","0"
"cell_3506_4","cell",1546,808,0,"t4","0","0"
"cell_3507_4","cell",1545,880,0,"t4","0","0"
"cell_3508_4","cell",1545,811,0.129449838187702,"t4","0","0"
"cell_3509_4","cell",1546,952,0.0646830530401035,"t4","1","1"
"cell_3510_4","cell",1545,794,0.258899676375405,"t4","0","0"
"cell_3512_4","cell",1544,866,1.87823834196891,"t4","5","5"
"cell_3513_4","cell",1542,1000,0,"t4","10","10"
"cell_3514_4","cell",1542,873,0.12970168612192,"t4","0","0"
"cell_3515_4","cell",1542,935,0.12970168612192,"t4","1","1"
"cell_3516_4","cell",1542,926,3.37224383916991,"t4","5","5"
"cell_3517_4","cell",1541,888,3.89357560025957,"t4","5","5"
"cell_3518_4","cell",1541,968,1.36275146009085,"t4","0","0"
"cell_3519_4","cell",1538,1033,0.0650195058517555,"t4","10","10"
"cell_3520_4","cell",1538,1026,2.86085825747724,"t4","1","1"
"cell_3521_4","cell",1539,896,1.16959064327485,"t4","5","5"
"cell_3522_4","cell",1539,987,1.10461338531514,"t4","5","5"
"cell_3523_4","cell",1537,949,0.390370852309694,"t4","2","2"
"cell_3524_4","cell",1537,1019,0.650618087182824,"t4","1","1"
"cell_3526_4","cell",1538,979,0.780234070221066,"t4","1","1"
"cell_3527_4","cell",1537,798,0.455432661027977,"t4","0","0"
"cell_3528_4","cell",1536,955,3.25520833333333,"t4","1","1"
"cell_3529_4","cell",1533,993,0.978473581213307,"t4","3","3"
"cell_3530_4","cell",1534,965,1.82529335071708,"t4","0","0"
"cell_3531_4","cell",1535,852,0,"t4","0","0"
"cell_3532_4","cell",1535,838,0.521172638436482,"t4","0","0"
"cell_3534_4","cell",1532,880,1.2402088772846,"t4","1","1"
"cell_3535_4","cell",1534,1004,2.41199478487614,"t4","5","5"
"cell_3536_4","cell",1531,761,0.391900718484651,"t4","0","0"
"cell_3537_4","cell",1529,774,0.196206671026815,"t4","0","0"
"cell_3538_4","cell",1526,1017,4.06290956749672,"t4","2","2"
"cell_3539_4","cell",1531,812,0,"t4","0","0"
"cell_3540_4","cell",1529,1025,1.24264224983649,"t4","5","5"
"cell_3541_4","cell",1526,881,0.0655307994757536,"t4","0","0"
"cell_3542_4","cell",1527,955,0.392927308447937,"t4","10","10"
"cell_3543_4","cell",1527,843,0.130975769482646,"t4","0","0"
"cell_3544_4","cell",1527,970,0.0654878847413229,"t4","1","1"
"cell_3545_4","cell",1525,951,0.131147540983607,"t4","4","4"
"cell_3546_4","cell",1526,962,0.196592398427261,"t4","1","1"
"cell_3547_4","cell",1526,937,0.589777195281782,"t4","9","9"
"cell_3548_4","cell",1524,864,0.5249343832021,"t4","0","0"
"cell_3549_4","cell",1524,930,0.78740157480315,"t4","0","0"
"cell_3550_4","cell",1524,814,0.78740157480315,"t4","0","0"
"cell_3551_4","cell",1523,821,0,"t4","0","0"
"cell_3552_4","cell",1524,928,2.82152230971129,"t4","9","9"
"cell_3553_4","cell",1519,977,0.197498354180382,"t4","1","1"
"cell_3554_4","cell",1520,967,0.986842105263158,"t4","1","1"
"cell_3555_4","cell",1520,968,4.01315789473684,"t4","5","5"
"cell_3556_4","cell",1518,969,2.50329380764163,"t4","1","1"
"cell_3557_4","cell",1519,889,0.0658327847267939,"t4","10","10"
"cell_3558_4","cell",1517,893,4.0870138431114,"t4","5","5"
"cell_3559_4","cell",1516,837,0.0659630606860158,"t4","0","0"
"cell_3560_4","cell",1516,796,0,"t4","0","0"
"cell_3561_4","cell",1514,925,0.264200792602378,"t4","4","4"
"cell_3562_4","cell",1514,853,1.51915455746367,"t4","3","3"
"cell_3563_4","cell",1514,894,0.198150594451783,"t4","4","4"
"cell_3564_4","cell",1513,870,0.991407799074686,"t4","0","0"
"cell_3565_4","cell",1514,785,0,"t4","0","0"
"cell_3566_4","cell",1513,994,0.396563119629874,"t4","1","1"
"cell_3568_4","cell",1512,904,0.132275132275132,"t4","0","0"
"cell_3569_4","cell",1510,881,0.0662251655629139,"t4","0","0"
"cell_3570_4","cell",1510,844,0.132450331125828,"t4","0","0"
"cell_3571_4","cell",1509,891,0.132538104705103,"t4","0","0"
"cell_3572_4","cell",1507,864,0.06635700066357,"t4","0","0"
"cell_3573_4","cell",1509,1023,2.65076209410205,"t4","2","2"
"cell_3574_4","cell",1508,996,0.13262599469496,"t4","5","5"
"cell_3575_4","cell",1507,765,0.06635700066357,"t4","0","0"
"cell_3576_4","cell",1506,886,0,"t4","0","0"
"cell_3577_4","cell",1507,949,1.92435301924353,"t4","5","5"
"cell_3578_4","cell",1506,898,0,"t4","0","0"
"cell_3579_4","cell",1506,878,0.199203187250996,"t4","0","0"
"cell_3580_4","cell",1503,802,0.0665335994677312,"t4","0","0"
"cell_3581_4","cell",1504,978,0.332446808510638,"t4","5","5"
"cell_3582_4","cell",1503,925,0.399201596806387,"t4","0","0"
"cell_3583_4","cell",1502,960,0.066577896138482,"t4","1","1"
"cell_3584_4","cell",1501,796,0.133244503664224,"t4","4","4"
"cell_3585_4","cell",1500,905,0,"t4","0","0"
"cell_3586_4","cell",1500,820,0.133333333333333,"t4","0","0"
"cell_3587_4","cell",1497,855,0,"t4","9","9"
"cell_3588_4","cell",1498,963,1.4018691588785,"t4","5","5"
"cell_3589_4","cell",1498,877,0.0667556742323097,"t4","11","11"
"cell_3590_4","cell",1494,867,2.27576974564926,"t4","9","9"
"cell_3591_4","cell",1495,888,0,"t4","2","2"
"cell_3592_4","cell",1494,816,0,"t4","2","2"
"cell_3593_4","cell",1492,984,0.402144772117962,"t4","0","0"
"cell_3594_4","cell",1491,949,1.140174379611,"t4","1","1"
"cell_3595_4","cell",1490,928,0,"t4","9","9"
"cell_3596_4","cell",1490,923,0.738255033557047,"t4","0","0"
"cell_3597_4","cell",1490,795,0.0671140939597315,"t4","0","0"
"cell_3598_4","cell",1490,870,0.469798657718121,"t4","1","1"
"cell_3599_4","cell",1487,863,0,"t4","0","0"
"cell_3600_4","cell",1484,907,0,"t4","1","1"
"cell_3601_4","cell",1487,995,0.739744451916611,"t4","0","0"
"cell_3602_4","cell",1485,935,0.673400673400673,"t4","1","1"
"cell_3603_4","cell",1486,858,0.672947510094213,"t4","0","0"
"cell_3604_4","cell",1487,796,0.47074646940148,"t4","2","2"
"cell_3605_4","cell",1487,786,0.134498991257566,"t4","1","1"
"cell_3606_4","cell",1485,1022,2.82828282828283,"t4","5","5"
"cell_3607_4","cell",1482,917,2.09176788124157,"t4","9","9"
"cell_3608_4","cell",1487,812,0.268997982515131,"t4","0","0"
"cell_3609_4","cell",1486,1013,1.54777927321669,"t4","5","5"
"cell_3610_4","cell",1485,703,0.269360269360269,"t4","11","11"
"cell_3611_4","cell",1481,906,0.0675219446320054,"t4","1","1"
"cell_3612_4","cell",1483,835,2.6298044504383,"t4","4","4"
"cell_3613_4","cell",1482,863,0.472334682860999,"t4","1","1"
"cell_3614_4","cell",1481,865,3.51114112086428,"t4","5","5"
"cell_3615_4","cell",1479,822,0.540906017579446,"t4","0","0"
"cell_3616_4","cell",1479,971,1.96078431372549,"t4","5","5"
"cell_3617_4","cell",1480,823,0,"t4","0","0"
"cell_3618_4","cell",1479,963,0.0676132521974307,"t4","0","0"
"cell_3619_4","cell",1478,856,0.06765899864682,"t4","0","0"
"cell_3620_4","cell",1475,777,3.1864406779661,"t4","4","4"
"cell_3621_4","cell",1476,946,1.96476964769648,"t4","5","5"
"cell_3622_4","cell",1477,889,2.3019634394042,"t4","3","3"
"cell_3623_4","cell",1477,832,0.2031144211239,"t4","4","4"
"cell_3624_4","cell",1476,800,0.0677506775067751,"t4","0","0"
"cell_3625_4","cell",1473,967,1.83299389002037,"t4","1","1"
"cell_3626_4","cell",1472,910,3.32880434782609,"t4","4","4"
"cell_3627_4","cell",1473,866,2.03665987780041,"t4","0","0"
"cell_3628_4","cell",1474,768,0,"t4","0","0"
"cell_3629_4","cell",1473,1031,0.950441276306857,"t4","9","9"
"cell_3632_4","cell",1472,865,0.0679347826086956,"t4","0","0"
"cell_3633_4","cell",1470,932,0.476190476190476,"t4","4","4"
"cell_3634_4","cell",1471,829,0.407885791978246,"t4","1","1"
"cell_3635_4","cell",1471,828,0,"t4","4","4"
"cell_3636_4","cell",1471,917,0.203942895989123,"t4","1","1"
"cell_3637_4","cell",1470,953,2.04081632653061,"t4","5","5"
"cell_3639_4","cell",1468,817,0,"t4","0","0"
"cell_3641_4","cell",1468,847,0.136239782016349,"t4","0","0"
"cell_3642_4","cell",1465,855,4.84641638225256,"t4","5","5"
"cell_3643_4","cell",1467,968,4.77164280845262,"t4","5","5"
"cell_3644_4","cell",1468,771,0.204359673024523,"t4","0","0"
"cell_3645_4","cell",1466,953,0.613915416098227,"t4","1","1"
"cell_3646_4","cell",1465,895,1.29692832764505,"t4","1","1"
